TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
BAA	"Flaherty,R*"	157	4	11	11.9	22.9	11.9	0	w	6	1	41	11	14.4	25.4	21.5	0.9	0	6	1	3/- (20-6)	D	12	D	D		408	304	314	417	310		310	3b-3e14 ss-4e17 rf-3(+1)e10 1b-4e8 lf-3e10 2b-3e4
MLN	"Flores,R*"	249	28	1	20.1	23.1	20.1	0	w	-8	33	21	15	8.6	25.5	17.1	2	w	-2	28	3/- (20-6)	C	13	C	B		525				402	402	302	rf-3(0)e2 cf-4e2 lf-4e2 1b-5e25
NYN	"Flores,W"	307	0	5	34.4	40.4	79.7	14.3	8	-12	22	10	8	20.5	29.5	28.6	1.3	1	-11	21	5/12 (13-5)	E	10	D	D		409	424	423	442				3b-4e23 1b-4e9 2b-4e24 ss-4e42
ATN	"Flowers,T"	281	31	15	17.5	40.5	27.3	0.5	0	7	11	38	9	23	40	34.8	2	3	7	14	-/- (---)	E	9	D	D	301								"c-3(+4)e1,T-5(pb-3)"
TBA	"Forsythe,L"	511	23	6	24.8	33.8	41.2	2	4	-6	11	25	11	22.1	36.2	33.7	2.5	5	-6	10	"*2-5,11,12/9 (15-6)"	C	13	D	C			212						2b-2e12
CHN	"Fowler,D+"	456	10	19	24.5	48.5	38.3	1.5	1	-6	2	31	22	19.9	46.8	30.6	1	2	-5	2	"*4,5/- (17-11)"	B	15	C	D							306		cf-3(0)e6
PHN	"Franco,M"	581	13	0	26.4	28.4	45.1	4.8	8	-6	22	12	5	20.9	27.9	31.3	2.8	3	-5	20	3/12 (13-5)	E	10	D	C				314					3b-3e14
MMN	"Francoeur,J"	307	36	2	25.7	27.7	35.4	1.5	3	-6	12	34	6	21	27	27.3	0.4	0	-5	11	"4,6/11 (13-6)"	D	12	D	D				565		307		307	lf-3(-2)e7 rf-3e7 3b-5e65
TBA	"Franklin,N+"	174	25	2	15.7	21.7	26.2	0	w	-3	1	25	4	27	35	42.5	3.2	5	-3	1	"*4,5/- (19-12)"	B	15	D	D		425	471		440	308		408	lf-3(+1)e8 1b-4e25 2b-4e71 ss-4e40 rf-4e8
PIN	"Frazier,A*"	146	0	0	42.8	44.8	42.8	0	w	-8	0	15	8	29.3	39.3	48	3.2	w	-7	0	*7/- (18-11)	C	14	C	C			444	465		417	517	417	2b-4e44 lf-4(+2)e17 rf-4e17 3b-4e65 cf-5e17
CHA	"Frazier,T"	590	41	14	10.4	26.4	37.1	8.9	8*	0	12	26	13	11.4	26.4	27.4	4.6	8	-2	15	"*5,6/- (17-12)"	B	14	D	D		324		312					3b-3e12 1b-3e24
ATN	"Freeman,F*"	589	36	12	29	44	50.7	2.8	5	-11	9	28	14	26.8	43.8	56.3	6.6	8	-8	13	3/- (17-6)	C	12	D	C		205							1b-2e5
PIN	"Freese,D"	437	35	13	32.8	50.8	50	2.8	5	-5	6	39	10	19.8	34.8	27	1.2	2	-6	20	-/- (---)	E	9	D	C		313	571	419					3b-4e19 1b-3e13 2b-5e71
PIN	"Fryer,E"	116	0	18	25.3	43.3	25.3	0	w	2	3	23	13	22.4	35.3	28.4	0	w	2	4	2-12/- (3-1)	E	11	D	C	301								"c-3(0)e1,T-13(pb-2)"
PHN	"Galvis,F+"	584	14	0	17.1	18.1	22.7	0.8	0	-9	27	29	0	22.3	23.3	34.7	2.5	4	-9	27	*2-5/- (18-13)	B	14	A	C					108				ss-1e8
CHA	"Garcia,Av"	413	27	13	14.5	29.5	24.3	1.2	2	11	18	33	7	17.9	26.9	24.8	1.2	2	12	19	4-6/10 (13-6)	C	13	D	D						406		406	rf-4(-2)e6 lf-4e6
ATN	"Garcia,Ad"	532	8	0	32.5	34.5	48	3	w	0	28	12	0	24.6	26.6	36.8	2.3	3	0	28	6/- (13-6)	D	12	D	C				424		503			3b-4e24 lf-5(+1)e3
SLN	"Garcia,G*"	214	45	5	19.5	28.6	24	0	w	-9	14	15	23	23.1	50.1	35.9	3	w	-7	12	5/12 (13-5)	E	12	C	D			319	411	432				ss-4e32 2b-3e19 3b-4e11
NYA	"Gardner,B*"	547	16	8	22.9	33.8	33.7	2.3	w	-8	10	12	18	23.1	44.1	36.5	2.5	w	-7	8	*7/- (18-11)	A	16	A	B						103	303		lf-1(-1)e3 cf-3e3
HOA	"Gattis,E"	447	19	2	27	31	51	5.6	8	-11	21	39	12	13.2	27.2	36.1	7.4	8	-3	17	4/- (13-6)	E	10	D	C	403								"c-4(-2)e3,T-5(pb-1)"
MLN	"Gennett,S*"	498	36	12	23.1	36.2	31.5	1	1	-2	16	20	4	23.4	28.4	36.2	2	1	-2	23	4/- (18-6)	C	13	D	B			319						2b-3e19
LAA	"Giavotella,J"	346	5	0	25.6	26.6	25.6	0	w	-10	28	0	0	27	28	40	1	1	-10	28	*2-6/11 (15-7)	C	13	B	B			410						2b-4e10
SFN	"Gillaspie,C*"	191	2	0	20.2	21.2	35.9	0	w	-8	21	8	1	24.6	26.6	42	2.8	5	-11	20	"2-5,11,12/8-10 (13-4)"	E	10	D	C		416		410					3b-4e10 1b-4e16
CLA	"Gimenez,C"	139	52	14	13.2	29.2	20.4	2.4	4	-9	11	29	4	14.2	20.1	17.1	0.8	1	-10	30	-/- (---)	E	10	B	D	308	424		516					"c-3(+1)e8,T-6(pb-5) 3b-5e16 1b-4e24"
PHN	"Goeddel,T"	213	22	7	8.3	17.3	17.3	2	w	-2	14	24	8	12.1	22.1	22.5	1.6	1	-5	14	3/- (20-6)	C	13	D	D						409		409	lf-4(-1)e9 rf-4e9
TOA	"Goins,R*"	183	26	0	6.9	7.9	7.9	0	w	6	28	31	3	9.5	13.5	21	0.6	0	6	27	"5,6/10 (13-6)"	E	14	B	C		325	115	365	210	425		425	2b-1e15 ss-2e10 3b-3e65 lf-4(+2)e25 1b-3e25 rf-4e25
ARN	"Goldschmidt,P"	579	16	29	31.1	62.2	48.2	3	4	-2	14	25	21	22	45	35.1	2.5	3	-2	13	"*4,6/- (19-12)"	AA	16	D	C		104							1b-1e4
CLA	"Gomes,Y"	251	36	0	22.8	24.8	50.8	3	4	8	27	32	0	1.8	3.8	7.1	1.8	3*	0	27	-/- (---)	E	11	D	D	203								"c-2(-2)e3,T-9(pb-3)"
TEA	"Gomez,C"	411	47	1	20.4	24.4	34.1	1.8	w	-6	27	39	10	14.5	27.6	26.8	2.4	4	-5	22	"*2-5,12/- (19-13)"	A	15	A	C						203	203	203	cf-2(-2)e3 lf-2e3 rf-2e3
LAN	"Gonzalez,A*"	568	10	2	22.9	26.9	25.5	0.4	0	4	23	22	8	28.7	38.7	43.8	2.7	3	3	20	"4,6/- (3-1)"	E	9	D	C		102							1b-1e2
CON	"Gonzalez,C*"	584	30	0	24.5	24.5	44.3	5	8	-4	18	17	8	29.6	37.6	46.9	2	3	-4	16	5/12 (13-5)	E	13	D	C								203	rf-2(-3)e3
HOA	"Gonzalez,M+"	484	34	1	22	25	37.9	1.3	2	-2	28	24	0	24.4	26.4	32.5	1.3	1	-2	29	*3-7/- (15-12)	B	14	A	D		213	319	310	317	407			1b-2e13 3b-3e10 lf-4(0)e7 2b-3e19 ss-3e17
KCA	"Gordon,A*"	445	40	14	12.4	30.4	23	2.8	5	-6	13	40	12	13.4	29.4	23.6	2.5	5	-7	12	5/- (18-6)	C	14	D	D						103			lf-1(-3)e3
MMN	"Gordon,D*"	325	11	0	26.7	26.7	30.2	0	w	-10	8	12	2	27.4	29.4	37.7	0.8	w	-10	8	*2-6/- (19-15)	AA	17	B	C			215						2b-2e15
ARN	"Gosselin,P"	220	21	6	29.7	36.7	35.9	0	w	-12	9	16	6	27.4	34.4	41.7	2.5	w	-12	9	3/- (20-6)	C	13	C	C		425	313	420		408			2b-3e13 1b-4e25 3b-4e20 lf-4(+2)e8
LAN	"Grandal,Y+"	390	25	22	10.8	33.8	21	3.4	6	-4	24	35	20	9.2	30.2	26.8	5.2	8	0	21	"6/8,10 (13-1)"	E	9	D	D	203	415							"c-2(0)e3,T-5(pb-4) 1b-4e15"
NYN	"Granderson,C*"	545	29	8	14.8	25.8	30.4	3.8	7	-6	14	20	16	14.2	33.2	30.9	3.8	7	-3	13	6/- (13-6)	D	13	D	D						300	300	300	rf-3(+2)e0 cf-3e0 lf-3e0
NYA	"Gregorius,D*"	562	0	0	33.3	35.3	47.9	1.8	2	-6	12	12	0	26.5	28.5	42	3.2	2	-6	12	4/- (18-6)	C	14	A	D					116				ss-1e16
SLN	"Grichuk,R"	446	33	11	14.2	26.1	35.5	4.2	8	0	14	42	2	15.9	18.9	38.5	4.2	8	13	15	"*3,5-7/10 (15-8)"	C	14	D	D						301	301	301	cf-3(0)e1 lf-3e1 rf-3e1
MNA	"Grossman,R+"	332	21	13	32.5	46.5	53.2	3.4	5	-6	3	35	26	17.9	44.9	23.7	0.9	0	-5	2	6/10 (13-4)	D	12	D	D						418			lf-4(+1)e18
HOA	"Gurriel,Y"	130	0	0	20.4	22.4	22.6	0.8	1	6	33	0	0	26.4	28.4	37	0.8	0	6	33	2-5/10 (13-6)	E	10	D	C		425		308		525			3b-3e8 1b-4e25 lf-5(+1)e25
SEA	"Gutierrez,F"	248	35	18	20.7	40.7	35.7	4.6	8	-11	12	58	0	4.2	6.2	11.2	2	2*	0	28	2/- (20-6)	E	11	D	D						402		402	rf-4(-1)e2 lf-4e2
CLA	"Guyer,B"	293	4	4	29	53	45.8	3	5	5	15	18	3	12	35	17.2	0.3	0	5	15	"4,5/12 (13-6)"	C	14	D	C						209	309	309	lf-2(-2)e9 rf-3e9 cf-3e9
SLN	"Gyorko,J"	400	16	11	17.4	28.4	27.9	3.5	6	-11	22	28	8	17.1	25.1	51.6	11.3	8	-4	19	-/- (---)	E	12	D	D		424	404	316	440				2b-4e4 3b-3e16 ss-4e40 1b-4e24
CIN	"Hamilton,B+"	411	24	2	17.3	19.3	30.2	3.8	w	-9	8	22	10	27.4	37.3	34.9	0.5	w	-16	7	*3-7/- (19-15)	AA	17	A	C							105		cf-1(-2)e5
BOA	"Hanigan,R"	105	28	0	0	2	0	0	w*	0	33	28	8	9.1	19.1	21.5	2.5	w	1	30	-/- (---)	E	9	D	D	202								"c-2(0)e2,T-5(pb-20)"
ARN	"Haniger,M"	109	49	11	9	22.1	15.1	1.6	3	5	13	15	10	14.2	26.2	28.4	3.4	6	5	18	-/- (---)	E	13	D	D						306	306	306	cf-3(-1)e6 lf-3e6 rf-3e6
BAA	"Hardy,J"	405	5	10	22.5	32.5	39	1	2	9	25	12	3	25.4	28.4	34.4	0.5	0	10	28	-/- (---)	E	11	D	D					208				ss-2e8
WAN	"Harper,B*"	506	36	18	13.9	32.9	33.9	4	8*	0	16	13	24	14.3	39.3	25.5	3	6	-1	15	*4-6/- (17-13)	A	15	D	C								202	rf-2(-4)e2
PIN	"Harrison,J"	487	8	0	33.1	35.1	58.3	2.3	w	9	18	8	0	27.1	29.1	40.3	1.6	w	9	18	"*4,6/- (19-12)"	A	15	B	C			210					425	2b-2e10 rf-4(-1)e25
SLN	"Hazelbaker,J*"	200	59	0	11.8	11.8	31.4	4.8	8*	0	1	36	10	16.2	26.2	39.8	5.8	8	-5	0	"*2-5,11,12/- (16-12)"	B	15	B	D						314	414	314	lf-3(0)e14 cf-4e14 rf-3e14
NYA	"Headley,C+"	467	6	9	26.8	38.8	27.2	0.2	0	-8	15	36	12	18.2	33.2	28.1	2.3	2	-8	13	6/- (16-6)	C	12	D	D				212					3b-2e12
OAA	"Healy,R"	269	15	0	32.9	33.9	57	5.8	8	-4	21	26	0	32	33	53	3.4	7	-4	22	-/- (---)	E	11	D	C				320					3b-3e20
MMN	"Hechavarria,A"	508	17	7	17.4	24.4	29.2	1.8	w	-3	20	1	2	20.4	22.4	28.1	1	w	-3	22	2/- (20-6)	E	13	D	C					116				ss-1e16
WAN	"Heisey,C"	139	36	8	14.4	25.4	30	5.2	8	-7	3	38	11	9.4	23.4	29.8	5.8	8*	0	2	3-7/- (3-1)	E	12	D	D						304	304	304	lf-3(-1)e4 rf-3e4 cf-3e4
PHN	"Hernandez,C+"	547	19	5	41.2	47.2	46.6	0	w	-9	11	18	14	26.5	41.5	41.8	2.8	w	-8	10	"*2-8,11/9 (15-9)"	B	15	A	C			314		417				2b-3e14 ss-4e17
LAN	"Hernandez,E"	216	30	21	6.1	27	16.3	2.2	4*	0	7	38	8	10.5	18.5	13.5	1	0	-4	9	2/- (20-6)	D	12	D	D			304	465	427	303	403	303	lf-3(0)e3 cf-4e3 2b-3e4 3b-4e65 ss-4e27 rf-3e3
HOA	"Hernandez,T"	100	39	22	18.2	40.2	34.8	4	6	-7	9	28	5	14.8	19.8	30.5	1.8	2*	0	40	2-12/- (3-1)	E	15	C	D						311	311	311	cf-3(-2)e11 lf-3e11 rf-3e11
PHN	"Herrera,O*"	583	26	15	19	36	20.6	0	w	-11	12	21	7	31.5	40.5	41.8	2	3	-12	15	"*5,7/- (18-12)"	A	15	B	B							210		cf-2(0)e10
ARN	"Herrmann,C*"	148	21	10	22.4	32.4	32.1	2.5	4	6	9	38	10	24	34	44.2	3	4	6	9	*4/- (20-6)	C	13	D	D	401	425				425	425	425	"c-4(-1)e1,T-7(pb-2) lf-4(0)e25 rf-4e25 cf-4e25 1b-4e25"
CHN	"Heyward,J*"	530	17	16	12.4	30.4	14.8	0.4	0	-2	19	11	8	18.2	28.2	32.4	2.6	w	-2	21	*7/- (17-6)	B	14	D	C							302	102	rf-1(-4)e2 cf-3e2
NYA	"Hicks,A+"	327	19	5	8.8	13.8	14.4	1.4	0	-3	21	18	10	20.3	30.3	27.8	1.4	0	-8	20	"6,7/10-12 (13-5)"	D	14	D	C						202	302	202	rf-2(-3)e2 cf-3e2 lf-2e2
BOA	"Hill,A"	378	3	13	24.1	39.2	28.2	1.4	1	-9	13	8	11	22.4	35.4	28.5	1	1	-9	13	7/- (13-6)	C	13	D	C			406	410					3b-4e10 2b-4e6
BOA	"Holaday,B"	117	16	2	21.2	27.2	27	0.6	1	5	13	29	6	13.2	23.2	32.5	2.5	w	3	13	4-8/- (3-1)	E	10	D	D	304			565		525			"c-3(-1)e4,T-1(pb-0) 3b-5e65 lf-5(+2)e25"
SLN	"Holliday,M"	382	11	4	13.9	21.8	39.7	6.5	8	0	21	13	11	18.2	33.2	32	3	6	-1	19	-/- (---)	E	10	D	C		522				506			lf-5(+1)e6 1b-5e22
BOA	"Holt,B*"	290	48	16	0	18	0	0	w*	0	16	11	8	26	36	36.5	1.2	3	-12	18	*2-6/11 (15-7)	C	15	C	B			313	331	432	306		406	lf-3(+1)e6 3b-3e31 2b-3e13 ss-4e32 rf-4e6
CIN	"Holt,T"	179	32	24	11.4	37.4	17.8	0	w	5	19	24	14	17	33	22.6	0	w	6	24	"*2-7,12/10 (15-8)"	C	15	B	D						204	204	204	cf-2(-1)e4 rf-2e4 lf-2e4
KCA	"Hosmer,E*"	605	21	5	16.4	21.4	27.5	3.5	7	9	26	20	10	24.3	34.3	37.7	3	6	8	24	7/- (13-6)	D	14	D	B		206							1b-2e6
PHN	"Howard,R*"	331	57	0	0	1	0	0	w*	0	21	45	7	9.5	17.5	37	9	8*	0	18	2-5/- (3-1)	E	8	D	C		525							1b-5e25
CON	"Hundley,N"	289	21	0	30	31	54.4	3	3	9	37	20	11	14.3	26.3	25.5	1.8	2	8	27	-/- (---)	E	10	D	C	403								"c-4(+1)e3,T-12(pb-2)"
SEA	"Iannetta,C"	295	29	24	17	42	22.3	0.6	1	-7	15	32	11	9.1	21.1	14.8	0.8	0	-2	19	-/- (---)	E	10	D	D	303								"c-3(0)e3,T-7(pb-2)"
DEA	"Iglesias,J"	467	0	5	21.8	30.8	33	0.8	0	-7	20	0	3	22.5	29.5	27.9	0.5	w	-7	20	"*2-5,12/- (15-11)"	C	13	B	B					107				ss-1e7
ATN	"Inciarte,E*"	522	0	5	37.7	44.7	44.1	0	w	-16	16	6	6	28.9	36.9	41.7	1.6	w	-16	16	"*2-5,12/- (16-12)"	B	15	B	B						105	105		cf-1(-3)e5 lf-1e5
KCA	"Infante,O"	134	17	12	17.1	29.1	25.1	0	w	0	0	9	4	19	23	30.1	0	w	0	0	-/- (---)	E	11	C	C			417						2b-4e17
CHA	"Jackson,A"	181	35	10	14.3	25.3	14.3	0	w	6	19	14	11	22.1	34.1	37.4	0	w	6	19	"4,5/- (13-6)"	D	14	C	D							306		cf-3(-1)e6
SDN	"Jankowski,T*"	335	33	8	4.1	13	4.2	0	w	-2	10	34	17	24.3	42.3	32.6	1.5	w	-13	8	"*2-6,11,12/- (17-15)"	A	17	A	C						202	202	202	cf-2(+1)e2 rf-2e2 lf-2e2
PIN	"Jaso,J*"	380	37	27	0	30	0	0	w*	0	13	14	12	24.1	39.1	36.3	1	0	5	16	2-7/- (3-1)	E	11	C	C		410						516	1b-4e10 rf-5(+1)e16
SDN	"Jay,J*"	347	19	8	32.3	44.3	40.5	0	w	10	8	23	0	26.6	30.6	41.6	1.6	w	10	10	2/- (20-6)	E	13	D	C						302	302	302	cf-3(+2)e2 rf-3e2 lf-3e2
TBA	"Jennings,D"	200	22	12	10.3	24.3	21.1	1.6	2*	0	14	37	13	9.7	24.6	18.7	2.3	4	5	14	3/- (20-6)	D	14	D	D						206	306		lf-2(+2)e6 cf-3e6
MMN	"Johnson,C"	243	41	9	12.2	22.2	16.7	1.3	3	-6	27	39	4	18.3	23.3	33.2	3	w	-6	33	-/- (---)	E	10	D	D		410		424		525			1b-4e10 3b-4e24 lf-5(+2)e25
NYN	"Johnson,K*"	304	15	0	20.2	22.2	37.9	5.9	8	-8	18	21	7	20.5	29.5	29.1	1.3	2	-8	16	3/- (20-6)	C	12	D	D		425	324	320	488	410			2b-3e24 3b-3e20 lf-4(+1)e10 1b-4e25 ss-4e88
BAA	"Jones,A"	619	23	4	15.7	21.7	18.5	0.5	0	3	18	11	5	23.5	30.5	36.1	4	7	3	17	2/- (20-6)	E	13	D	C							202		cf-2(-2)e2
BAA	"Joseph,C"	132	22	0	1	1	1	0	w	0	34	19	5	9.6	14.6	10.5	0	w	-6	32	-/- (---)	E	10	C	C	204	418							"c-2(+1)e4,T-4(pb-1) 1b-4e18"
PHN	"Joseph,T"	315	16	13	21.9	37.9	46.2	7	8	-8	23	25	4	18.5	25.5	38.2	5	8	-6	25	6/12 (13-5)	E	9	D	C		415							1b-4e15
PIN	"Joyce,M*"	231	21	32	13.4	48.3	24.5	1.9	2	-4	22	29	31	10.5	44.5	24.1	3.8	7	-3	12	5/12 (13-5)	E	12	D	D						402		402	rf-4(0)e2 lf-4e2
PIN	"Kang,J"	318	30	24	8.5	41.5	20.9	2.4	5*	0	14	20	9	19.7	37.7	48.6	7.6	8	-4	21	5/- (15-6)	D	11	D	D				434					3b-4e34
ATN	"Kemp,M"	623	20	0	30.3	30.3	65.5	9.5	8	0	23	28	3	21.3	24.3	40.2	3.8	7	0	22	2/- (20-6)	E	11	D	C						403		403	lf-4(+1)e3 rf-4e3
HOA	"Kemp,T*"	120	21	19	2.3	21.3	4.5	0	w*	0	27	22	12	17.8	29.8	35.1	2	w	-1	30	"2-5,12/- (13-11)"	D	15	B	C			471			406		406	lf-4(+2)e6 2b-4e71 rf-4e6
LAN	"Kendrick,H"	487	18	15	16.9	32.9	22.3	0	w	-5	28	13	9	24.1	34.1	33.7	1.3	1	-5	30	*5/- (19-6)	B	13	D	C		321	321	412		403			lf-4(0)e3 2b-3e21 3b-4e12 1b-3e21
MNA	"Kepler,M*"	396	32	9	11.9	22.9	22.3	0.6	1	-1	5	18	11	17.4	30.4	33.2	3.8	7	-6	4	*6/- (17-6)	C	14	D	D		410					311	211	rf-2(-1)e11 cf-3e11 1b-4e10
TBA	"Kiermaier,K*"	366	25	14	23.3	41.3	44.2	1.5	2	-6	12	13	10	18.3	32.3	28.4	2	3	-6	13	"*5,6/- (19-13)"	A	16	B	C							103		cf-1(-4)e3
BAA	"Kim,H*"	305	14	30	0	33	0	0	w*	0	7	8	12	34.4	49.4	41.6	0.6	0	-7	10	6/9-11 (13-1)	E	11	D	C						403			lf-4(+2)e3
DEA	"Kinsler,I"	618	15	10	28.8	42.8	46.8	2.8	4	-2	5	13	5	24.6	33.6	37.9	3.3	5	-2	6	"*5,6/- (16-11)"	B	14	C	C			110						2b-1e10
CLA	"Kipnis,J*"	610	31	6	25.8	33.8	43.3	2	4	0	28	19	13	20.8	35.8	36	2.3	4	0	25	*6/- (19-11)	B	15	B	B			213						2b-2e13
CHN	"La Stella,T*"	148	0	12	22.4	37.4	31.9	0	w	-9	8	16	13	23.9	39.9	44.3	3	w	-7	8	3-6/- (3-1)	E	12	D	C			429	428					3b-4e28 2b-4e29
NYN	"Lagares,J"	142	10	0	25.5	28.5	37.3	3	w	-11	26	17	12	14.6	29.6	35.3	1.6	2*	0	22	*2-7/- (15-13)	C	14	B	C							204	204	cf-2(-2)e4 rf-2e4
ARN	"Lamb,J*"	523	35	20	4.7	25.6	14.3	2.6	4*	0	16	34	10	19.5	30.5	46.5	4.6	8	-3	17	4/- (17-6)	C	14	D	C				424					3b-4e24
CHA	"Lawrie,B"	351	50	1	28.7	30.7	51.9	1.5	2	-3	5	36	10	17	28	26.4	1.8	3	-3	6	"*5,6/- (16-11)"	C	14	D	D			316						2b-3e16
SEA	"Lee,D"	292	26	6	20.4	29.4	31.5	3.5	6	0	20	31	1	19.4	23.4	29	3	5	0	20	-/- (---)	E	8	D	D		405							1b-4e5
CON	"LeMahieu,D"	552	7	18	33	52	50.6	1.4	0	-8	26	2	13	39.8	53.8	49	0	0	-8	26	*2-5/12 (15-9)	C	15	A	B			106						2b-1e6
BOA	"Leon,S+"	252	13	19	29.3	50.3	47.8	4.3	7	-4	9	34	4	31.5	37.5	52.8	3.3	w	-4	11	-/- (---)	E	10	B	C	202								"c-2(-3)e2,T-1(pb-5)"
SEA	"Lind,A*"	401	37	4	23.4	27.4	34.7	1.2	1	-9	27	21	2	18.7	20.7	34.7	4.4	7	-8	26	"4,5/- (3-1)"	E	10	D	C		309							1b-3e9
CLA	"Lindor,F+"	604	8	4	29.3	35.3	34.8	0.8	1	-9	24	5	11	30.4	43.3	38.5	0.9	1	-9	22	"*4,5/- (18-11)"	B	15	B	B					112				ss-1e12
NYN	"Loney,J*"	343	0	0	8.1	11.1	15.3	1.5	1	-1	25	0	0	30.3	33.3	39.1	1.5	1	-15	26	-/- (---)	E	8	D	C		315							1b-3e15
TBA	"Longoria,E"	633	23	1	22.3	24.3	44.5	1.8	2	1	21	22	5	25.8	31.8	53.4	6.8	8	1	21	"2-5,11,12/- (3-1)"	E	12	D	C				210					3b-2e10
OAA	"Lowrie,J+"	338	12	4	29.8	34.8	31.3	0	w	9	24	18	7	20.5	28.5	26.8	1.5	w	9	23	-/- (---)	E	12	D	C			412		417				2b-4e12 ss-4e17
TEA	"Lucroy,J"	490	28	14	16	31	28	4	7	-3	22	13	7	31.3	39.3	49.4	3.2	5	-4	28	2/- (20-6)	C	11	D	C	201	408							"c-2(-1)e1,T-6(pb-2) 1b-4e8"
BAA	"Machado,M"	640	9	7	37.6	45.6	57.8	2	2	-16	18	16	4	26.5	31.5	49.5	6	8	-12	20	4-6/- (3-1)	E	14	D	D				110	223				3b-1e10 ss-2e23
TBA	"Mahtook,M"	185	41	0	24.9	26.9	36	1.5	3	-11	12	58	0	6.6	8.6	14.9	1.8	w*	0	12	"2-6,11,12/- (3-1)"	E	13	D	D						203	303	203	cf-3(-1)e3 lf-2e3 rf-2e3
TBA	"Maile,L"	119	45	0	20	20	25.4	1.6	3	6	14	37	0	17.1	17.1	29.2	1	1	6	14	-/- (---)	E	10	B	D	304	416							"c-3(0)e4,T-11(pb-4) 1b-4e16"
MLN	"Maldonado,M"	208	37	13	16.9	35.9	29.8	3	w	-7	16	21	16	5.2	27.2	13.2	2.7	5	0	17	2/- (20-6)	E	9	C	D	303								"c-3(-2)e3,T-17(pb-1)"
HOA	"Marisnick,J"	287	32	6	16.3	23.3	33.5	1.3	1	-1	9	38	2	12.1	15.1	24.1	2.3	w	-2	10	*2-9/- (15-13)	B	16	A	D						102	102	102	cf-1(-2)e2 lf-1e2 rf-1e2
ATN	"Markakis,N*"	599	6	7	19.1	28.1	27.7	1.3	w	10	21	12	12	23.4	37.4	35.6	1.5	2	9	19	"4,5/- (3-1)"	E	11	D	B		425						204	rf-2(-1)e4 1b-4e25
LAA	"Marte,J"	258	32	9	16.9	29.9	34.8	3.8	6	-4	28	17	5	21.2	30.1	41.6	5.3	8	-8	29	"6,7/10 (13-6)"	D	12	D	C		414		318		508			lf-5(+2)e8 1b-4e14 3b-3e18
SEA	"Marte,K+"	437	27	0	15.9	16.9	23.5	0	w	2	20	13	1	28.9	30.9	34.8	0.8	w	2	20	"*2-5,12/- (16-12)"	B	14	A	C					430				ss-4e30
PIN	"Marte,S"	489	38	0	30	37	32.5	0.3	1	-13	15	14	0	35.5	42.5	51	0.4	0	-13	15	"*2-6,12/- (19-15)"	AA	17	C	C						105	205		lf-1(-4)e5 cf-2e5
SEA	"Martin,L*"	518	36	1	26.8	28.8	35.2	2	3	-6	18	34	11	18.9	30.9	24.7	1.3	2	-5	12	*2-5/- (19-13)	A	16	A	D							203		cf-2(-4)e3
TOA	"Martin,R"	455	38	23	9	36.9	16.8	2.6	4	0	14	35	16	13.4	34.3	23.4	2.4	4	0	14	4/- (13-6)	E	11	D	D	201		441	465					"c-2(+1)e1,T-6(pb-3) 2b-4e41 3b-4e65"
DEA	"Martinez,J"	460	25	6	31.1	38.1	50	2.7	4	-10	27	33	14	28.3	43.3	48	3.2	6	-9	11	5/9 (13-3)	E	11	D	D								408	rf-4(0)e8
CLA	"Martinez,M+"	101	12	0	23	23	23.1	0	w	-11	17	32	0	19.5	19.5	33.2	3.3	w	-11	17	2-12/- (3-1)	E	15	C	D			317	365	340	304	304	304	2b-3e17 rf-3(-1)e4 ss-3e40 cf-3e4 3b-3e65 lf-3e4
DEA	"Martinez,V+"	553	8	10	26.5	38.5	36.3	3.3	5	-6	27	10	4	28.2	34.2	43.3	3.8	6	-6	29	-/- (---)	E	8	D	C		513							1b-5e13
MMN	"Mathis,J"	126	36	0	30.8	32.8	44.5	1.2	2	-1	4	33	0	15.2	17.2	24.2	2.4	w	-1	4	-/- (---)	E	9	D	D	213								"c-2(-1)e13,T-1(pb-0)"
MNA	"Mauer,J*"	494	16	11	15.4	26.4	21.4	2	2	2	17	12	19	22.8	41.8	31.5	0.5	0	2	15	2/- (20-6)	E	13	D	B		203							1b-2e3
DEA	"Maybin,C"	349	17	18	25	45.1	30.3	0.2	0	9	14	14	10	32.8	44.8	44.6	1.5	w	10	16	"*2-5,11,12/- (16-12)"	A	16	B	C							307		cf-3(+2)e7
TEA	"Mazara,N*"	516	29	3	20.5	25.5	25.8	1.8	w	-11	20	19	6	24.1	32.2	35.7	3.3	6	-11	21	"5,6/- (3-1)"	E	10	D	C						302		302	rf-3(-2)e2 lf-3e2
NYA	"McCann,B*"	429	25	17	13.2	33.2	20.7	2.5	2	-2	17	20	13	17.6	33.6	28.7	3.5	4	-2	18	2/- (20-6)	E	8	D	D	302	413							"c-3(+1)e2,T-7(pb-2) 1b-4e13"
DEA	"McCann,J"	344	42	11	17.9	29.9	41.6	7.2	8	-5	12	39	2	12.5	15.5	20.9	2.8	w	-6	30	"4,6/- (3-1)"	E	10	D	D	202								"c-2(-3)e2,T-7(pb-1)"
