TM	PITCHERS	IP	SO vlhp	BB vlhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	DP vlhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	DP v rhp	HO	ENDURANCE	FIELD	BK	WP	BAT-B	STL	SPD
ARN	"Godley,Z"	155	34	12	10.6	22.6	19.8	0.2	0*	12	34	6	9.7	15.7	20.9	2	3	11	-5	S(6)	2-28	0	20	1WR-A	E	10
SEA	"Gonzales,M*"	40	22	5	33.9	38.9	42.9	3	4	0	10	3	37	40	58.8	4	6	2	-3	S(5) R(3)	3-36	0	10	3WL-C	E	10
WAN	"Gonzalez,G*"	201	23	9	5.6	14.6	8.8	0	0	6	27	12	9.8	21.9	19.4	2	2	7	1	S(6*)	3- 0	0	7	1WR-D	E	12
TEA	"Gonzalez,M"	156	10	6	22.8	28.8	45.6	2	3	4	7	10	15.7	25.7	24.9	1.6	3	4	0	S(6)	3- 0	0	0	1WR-D	E	10
CLA	"Goody,N"	55	50	0	4.3	4.3	13.9	3.2	6	10	46	14	6.3	20.3	15.7	1.2	2	3	-1	R(1)	3-26	0	17	1WR-C	E	10
OAA	"Gossett,D"	91	5	12	27	39	44.2	2	3	4	22	5	22.5	27.5	53.3	7.5	8	4	-5	S(5)	2- 0	0	20	1WR-C	E	10
WAN	"Grace,M*"	50	25	11	15.3	26.3	15.3	0	0	2	0	2	26	28	39.2	0	0	2	6	R(2) C(1)	5-28	0	8	1WL-C	E	10
OAA	"Graveman,K"	105	15	7	12.2	19.2	22.3	1.4	3	8	8	7	28	35	43.1	0.8	2	12	0	S(6)	2-27	0	10	1WR-C	E	10
CON	"Gray,J"	110	20	7	20	27	27.2	0	0	9	42	2	24.1	26	35.4	1.8	3	0	3	S(6)	3-13	3	5	6NR-A	E	10
NYA	"Gray,S"	162	26	9	11.3	20.3	19.3	0.8	0	6	26	10	11.6	21.6	22.4	2	3	6	3	S(6)	2-27	0	15	1WR-C	E	10
NYA	"Green,C"	69	76	2	0	2	0	0	0*	0	59	9	3.3	12.3	6.5	0	0*	5	4	R(2)	3- 0	0	11	1WL-C	E	10
DEA	"Greene,S"	68	37	19	11.9	30.9	21.5	1.4	1	2	29	12	4	15.9	5.7	0.4	0	12	-4	R(1) C(3)	3-42	0	2	1WR-C	E	10
HOA	"Gregerson,L"	61	28	3	16	19	39	5	8	0	37	6	20.5	26.5	36.2	3.2	5	0	9	R(1) C(0)	3- 0	5	18	1WL-C	E	10
ARN	"Greinke,Z"	202	35	3	12.3	15.3	19.2	1.2	1	11	34	4	9.5	13.5	23.8	3	4*	11	-3	S(7*)	1- 0	0	14	3WR-A	E	14
TEA	"Griffin,A"	77	11	17	10.6	27.5	29	4	7*	0	21	5	17.1	22.1	48	6.8	8*	1	-4	S(5) R(3)	3- 0	0	5	1WR-C	E	10
TEA	"Grilli,J"	40	26	29	14.3	43.3	40.6	6	8*	0	33	7	19.5	26.5	51.7	7	8	0	3	R(1) C(0)	3- 0	0	10	1WR-C	E	10
CHN	"Grimm,J"	55	41	7	13.3	20.3	38.8	8.5	8	1	24	23	9.4	32.3	19.2	2.8	5	8	9	R(2) C(0)	3- 0	6	16	1WR-C	E	10
NYN	"Gsellman,R"	120	11	8	17.9	25.9	32.3	2.6	4	5	7	6	22.1	28.1	37.7	1.6	2	5	0	S(5) R(3)	2-48	0	6	2WR-C	E	13
MLN	"Guerra,J"	70	22	19	8.1	27.2	23.1	4.1	5	4	24	22	8.3	30.3	28.1	6.5	8*	3	-6	S(5) R(3)	2-42	0	15	1WR-A	E	10
MLN	"Hader,J*"	48	49	29	0	29	0	0	0*	0	46	8	12.2	20.2	28	2.4	3	0	-3	R(2)	3- 0	0	0	1WL-D	E	10
OAA	"Hahn,J"	70	8	18	20.5	38.5	35	0	0	6	22	4	21.7	25.7	27.2	0	0	6	-1	S(5)	2-42	0	5	1WR-C	E	10
TEA	"Hamels,C*"	148	13	2	7.6	9.6	16.4	1	0*	11	16	11	10.4	21.4	22.8	2.2	3	11	-3	S(6)	2-30	0	9	1WL-C	E	13
KCA	"Hammel,J"	180	17	3	24.5	27.5	37.9	1.6	3	0	15	4	26	30	35.9	2.8	5	0	9	S(6)	5- 0	2	8	1WR-B	E	10
SDN	"Hand,B*"	79	56	14	2.8	16.9	11.4	2.8	5*	0	48	1	5.1	6.1	10.9	1.6	2	5	0	R(1) C(4)	3- 0	0	12	1WL-D	E	12
TOA	"Happ,J*"	145	18	0	8.7	8.7	18.9	1.8	3	0	28	8	19	27	27.9	1.8	2	0	0	S(6)	2-20	0	5	1WL-C	E	10
DEA	"Hardy,B*"	33	4	0	21.9	21.9	60.6	10.2	8	6	20	13	37.3	50.3	51.5	2	2	0	-6	R(1)	3- 0	0	5	1WL-C	E	10
HOA	"Harris,W"	45	30	0	17.3	17.3	20.8	1	1	0	46	0	9.6	9.6	21	3.8	6	0	-3	R(1) C(1)	3- 0	0	5	1WR-C	E	10
BAA	"Hart,D*"	44	20	14	20.8	34.8	31.7	1.6	2	12	1	0	25.5	25.5	34.3	1.8	2	12	0	R(1)	3- 0	8	4	1WL-C	E	10
NYN	"Harvey,M"	93	9	17	24.9	41.9	48.3	6.3	8	0	12	12	16.4	28.4	26.5	2.8	5	0	-2	S(5)	3-15	4	13	1WR-D	E	12
OAA	"Hatcher,C"	60	31	8	8.1	16.1	22.5	4.3	7	0	23	8	19.3	27.3	32.2	2.2	3	0	-2	R(2) C(0)	3- 0	6	7	1WR-C	E	10
BAA	"Hellickson,J"	164	8	5	14.9	19.9	37.5	4.3	6	7	6	6	17.5	23.5	38.5	3.8	6	7	-3	S(5)	2- 0	3	5	1WR-B	E	13
BOA	"Hembree,H"	62	36	8	24.7	32.7	37.5	0	0	0	30	6	16.8	22.8	28.2	3.2	6	1	9	R(1)	3-24	0	6	1WR-C	E	10
CHN	"Hendricks,K"	140	28	11	14.3	25.3	22.1	2.2	4	6	18	1	18.9	19.9	25.1	1.4	2	6	0	S(6)	2-10	0	0	1WR-C	E	14
OAA	"Hendriks,L"	64	42	9	7.4	16.4	17.7	1.4	2*	0	36	10	12.9	23	21.2	1	1	0	9	R(1) C(0)	4-22	0	20	1WR-C	E	10
ARN	"Hernandez,D"	55	38	9	8.8	17.8	13.6	1.6	2	7	21	0	21.5	21.5	27.8	0	0	12	2	R(1) C(1)	4- 0	0	20	1WR-C	E	10
SEA	"Hernandez,F"	87	15	8	25.3	33.3	40.4	2.6	4	12	29	6	12.3	18.4	30.8	4.3	8	8	-2	S(6)	4-17	0	20	1WR-C	E	10
KCA	"Herrera,K"	59	23	15	21.6	36.5	41.9	1.8	3	4	24	0	15	15	37.1	3	6	3	6	R(1) C(5)	3- 0	0	7	1WR-C	E	10
MNA	"Hildenberger,T"	42	15	0	14.7	14.7	25.9	0	0	14	46	0	16.5	16.5	27.6	1.8	2	8	9	R(2) C(0)	4- 0	0	5	1WR-C	E	10
LAN	"Hill,R*"	136	24	27	13.1	40.2	28	4	5	3	47	6	5	11	12.1	1.6	3	3	1	S(5)	4-11	3	3	1WL-D	E	10
CON	"Hoffman,J"	99	16	5	13.4	18.4	30.4	2	3	2	18	17	27.3	44.3	51.5	2.8	3	3	-1	S(6) R(3)	3- 0	0	3	1WR-C	E	10
NYA	"Holder,J"	39	21	7	33.8	40.8	47	4.4	4	2	28	0	25	25	38.9	0.8	1	6	-2	R(1)	4- 0	0	11	1WR-C	E	10
CHA	"Holland,D*"	135	6	13	11.9	24.9	24	3.2	5	5	17	17	20.8	37.8	43.3	4.3	7	4	-3	S(5) R(3)	2-31	0	10	3WS-C	E	10
CON	"Holland,G"	57	51	21	0.4	21.4	0.4	0	0*	5	29	6	12.5	18.5	29.9	3.6	6	5	3	R(1) C(6)	4-26	0	20	1WR-C	E	10
CHA	"Holmberg,D*"	58	0	7	23.1	30.1	45.3	2.8	5	0	8	21	13.4	34.4	33.4	4	6	0	-3	S(5) R(3)	3-24	0	10	1WR-C	E	10
ARN	"Hoover,J"	41	46	4	21.8	25.8	26.2	0	0	0	26	27	12.6	39.7	32.7	3.6	6	0	-4	R(1)	3-35	0	4	1WR-C	E	10
HOA	"Hoyt,J"	49	38	5	25.8	30.8	41.1	1.4	2	2	41	6	16	22	25.7	2.2	4	4	2	R(1)	5- 0	0	18	1WR-C	E	10
PIN	"Hudson,D"	62	27	18	14	32	28.5	1	1	7	32	17	11.8	28.8	20.4	1.4	3	8	3	R(1)	2-23	0	14	1WR-C	E	10
MLN	"Hughes,J"	60	7	1	20.5	21.5	51.8	3	3*	12	27	13	13	26	26	0	0*	12	9	R(1) C(0)	2-48	0	20	1WR-C	E	10
MNA	"Hughes,P"	54	11	2	42.8	44.8	77.5	8.3	8	0	8	2	22.5	24.5	41.7	2.4	3	0	1	S(5) R(3)	2- 0	0	0	1WR-C	E	10
TBA	"Hunter,T"	59	38	8	6.1	14.1	11.4	0	0	2	33	2	11.9	13.9	22.5	2.4	5	3	0	R(1) C(0)	2-50	0	8	1WR-C	E	10
CIN	"Iglesias,R"	76	28	17	17.2	34.2	19.7	0	0	2	53	2	4.8	6.8	5.7	0	0	2	1	R(2) C(6)	2-19	0	2	4WR-C	E	10
CHA	"Infante,G"	55	23	10	11.6	21.6	13.5	0.6	1	4	28	5	12.3	17.3	23.2	0	0	5	9	R(2)	4- 0	0	3	1WR-C	E	10
SEA	"Iwakuma,H"	31	0	13	23.4	36.3	62.6	8	8*	12	10	11	6	17	17.9	3.2	5*	12	-2	S(5)	4- 0	0	7	1WR-C	E	10
WAN	"Jackson,E"	76	22	8	19.8	27.8	34.6	2.6	5	0	6	10	21.2	31.2	59.3	10	8	0	5	S(6) R(3)	5-38	0	8	1WR-D	E	14
ATN	"Jackson,L"	51	4	7	17.7	24.7	24.3	0	0	0	13	6	26.5	32.5	43.3	2.2	2	0	2	R(2)	4- 0	0	17	1WR-C	E	10
LAN	"Jansen,K"	68	52	0	13	13	24.1	2.2	2	4	78	0	0	0	0	0	0*	0	9	R(1) C(6)	5- 0	5	7	4WS-D	E	10
MLN	"Jeffress,J"	65	5	25	14.1	39	24.8	2	3	11	18	10	22.3	32.3	35.8	2.2	3	10	-4	R(2)	3- 0	0	19	1WR-D	E	10
TBA	"Jennings,D*"	63	21	22	7.9	29.8	13.3	1.8	2	10	19	0	15	15	22.2	2.4	4	10	0	R(1)	2- 0	0	10	1WL-C	E	10
BAA	"Jimenez,U"	143	27	11	21.1	32.1	50.5	6	8	3	19	10	22.8	32.8	38.5	2.2	4	3	9	S(5) R(4)	5-10	0	4	1WR-D	E	10
ATN	"Johnson,J"	57	37	7	20.1	27.1	33.6	3.2	4	0	18	13	16	29	21.3	1.2	0	0	0	R(1) C(4)	3- 0	0	11	1WR-C	E	10
KCA	"Junis,J"	98	17	4	23.9	27.9	37.3	2.4	4	0	20	4	18.5	22.5	32.3	3	6	0	-2	S(6) R(3)	2-15	4	6	1WR-C	E	10
NYA	"Kahnle,T"	63	42	3	26.8	29.8	32.8	0	0	0	58	7	6.1	13.1	8.1	0	0	0	-1	R(1)	4- 0	0	18	1WR-C	E	10
KCA	"Karns,N"	45	34	20	13.5	33.5	27.2	3	5	0	34	0	14.3	14.3	35.4	5.5	8	3	9	S(6) R(3)	3-31	0	10	1WR-C	E	10
TEA	"Kela,K"	39	48	12	5.8	17.8	19.6	4	7*	0	53	16	0	16	0	0	0*	0	3	R(1) C(1)	3- 0	9	6	1WR-C	E	10
BOA	"Kelly,J"	58	28	31	6.5	37.5	6.5	0	0	6	21	6	6.3	12.3	10.4	0	0	8	-3	R(1)	2-26	0	16	1WR-C	E	10
KCA	"Kennedy,I"	154	18	13	12.1	25	36.8	6.5	8	6	22	9	17.3	26.3	36.7	4	8	7	-2	S(5)	1-28	3	5	3WR-C	E	10
LAN	"Kershaw,C*"	175	30	0	17.6	17.6	36.8	4.5	7	10	44	1	9.2	10.2	16	1.8	2	9	-4	S(7)	3- 8	5	5	3WL-B	E	14
HOA	"Keuchel,D*"	146	42	1	2.4	3.4	2.4	0	0	12	18	10	14.8	24.8	22.6	1.8	3	12	-6	S(6)	1-50	0	1	1WL-C	E	12
BOA	"Kimbrel,C"	69	55	5	5.4	10.4	14	2.7	5	0	76	2	0	2	0	0	0*	0	2	R(1) C(6)	3- 0	0	19	1WR-C	E	10
WAN	"Kintzler,B"	71	3	3	9.7	12.7	12.1	0	0	10	10	2	28	30	33.5	1	0	10	3	R(1) C(6)	2- 0	0	2	1WR-C	E	10
CLA	"Kluber,C"	204	46	3	7.2	10.1	12.3	1.2	2	1	55	0	8.8	8.8	18.1	1.2	2*	2	6	S(7)	3- 7	0	4	3WR-D	E	10
MLN	"Knebel,C"	76	61	17	0	17	0	0	0*	0	47	14	7.3	21.3	14	1.4	2	0	9	R(1) C(6)	4-19	0	5	1WR-C	E	10
TOA	"Koehler,T"	73	11	22	24.3	46.3	49	7	8	0	21	6	21.4	27.4	35.5	3	5	2	4	S(5) R(3)	3-40	0	2	1WR-D	E	10
PIN	"Kontos,G"	66	23	16	13.7	29.6	26.8	1.8	3	4	36	0	15.8	15.8	31.4	2.6	5	5	4	R(2) C(0)	3-22	0	6	1WR-C	E	10
ATN	"Krol,I*"	49	17	14	23.1	37.1	36.7	3	3	6	23	12	14.2	26.2	30.4	3	4	5	4	R(2)	2-51	0	8	1WL-C	E	10
PIN	"Kuhl,C"	157	27	14	20.4	34.4	43.1	2	2	8	17	10	16.3	26.3	23.4	0.6	1	10	0	S(5)	3- 0	2	11	1WR-D	E	10
CHN	"Lackey,J"	171	14	9	20.2	29.2	43	6	8	8	28	4	13.4	17.5	28.4	3.6	5	8	3	S(6)	4- 0	4	14	1WR-A	D	13
SDN	"Lamet,D"	114	31	19	10.3	29.3	27.2	3.2	6*	2	49	10	2.9	12.9	10.6	2.4	3*	3	1	S(5)	3-13	0	17	1WR-D	E	10
SFN	"Law,D"	37	13	6	29.5	35.5	55.7	7	8	6	29	8	25.7	33.7	37.1	0	0	7	2	R(1) C(3)	4- 0	0	20	1WR-C	E	10
SEA	"Lawrence,C"	55	0	16	37.8	53.8	54.5	4.3	8	0	34	4	26.1	30.1	36.2	2.2	3	0	9	S(5) R(3)	4- 0	0	3	1WR-B	E	10
SEA	"Leake,M"	186	5	2	25.8	27.8	37.7	1	2	9	20	0	22.7	22.7	33.8	1.4	2	9	0	S(6)	1- 0	0	3	2WR-B	E	14
PIN	"LeBlanc,W*"	68	8	0	27.3	27.3	50.7	2.2	4	5	21	5	8.1	13	20.3	2.6	5	5	-3	R(2) C(0)	3- 0	0	6	1WL-C	E	10
TEA	"Leclerc,J"	46	44	19	5.6	24.6	14.4	1.6	1*	8	34	44	0	44	0	0	0*	0	1	R(1) C(1)	3- 0	0	20	1WR-C	E	10
PHN	"Leiter,M"	91	23	5	16.3	21.3	37.2	4.8	6	1	25	10	16.8	26.8	28.8	3.2	3	0	6	S(5) R(3)	4- 0	0	6	1WR-C	E	10
TOA	"Leone,D"	70	45	7	4.9	11.9	14.4	2	3*	4	37	8	11.6	19.6	24.7	0	0*	4	1	R(2) C(0)	3- 0	0	20	1WR-C	E	10
CHN	"Lester,J*"	181	48	0	11.7	11.7	20	1.4	3	4	19	10	20.8	30.8	34.6	2.6	4	5	4	S(6)	4- 0	0	3	6NL-A	D	13
HOA	"Liriano,F*"	97	23	2	20	22	30.8	0	0	10	18	21	20.1	41.1	36.8	2	2	10	4	S(5) R(3)	3- 0	3	10	1WL-C	E	10
PHN	"Lively,B"	89	0	10	22.3	32.3	43.4	3.4	4	12	16	0	20	20	41	1.4	2	12	-2	S(6)	2-33	4	2	7NR-D	E	10
MMN	"Locke,J*"	32	0	16	27.9	43.9	54.2	6.3	8	0	20	6	32.1	38.1	46	0.2	0	0	9	S(5)	4- 0	0	19	1WL-D	E	12
CHA	"Lopez,R"	48	1	5	17.4	22.4	33.6	5	8	0	15	6	16.9	22.9	30.2	0	0	0	-3	S(6)	3- 0	0	13	1WR-C	E	10
CIN	"Lorenzen,M"	83	23	10	16.5	26.5	30.6	2.8	3	4	26	8	18.9	26.9	19.7	0	0	5	0	R(2) C(1)	2- 0	5	20	6NR-D	E	13
TOA	"Loup,A*"	58	32	8	24.6	32.7	31.6	0	0	6	31	14	15.2	29.2	17.4	0	0	6	0	R(1)	2-51	0	10	1WL-C	E	10
NYN	"Lugo,S"	101	17	4	24.7	28.7	36.2	1	1	3	21	2	20.8	22.8	35.8	3	5	0	-1	S(6)	4- 0	4	3	6NR-B	E	12
SDN	"Lyles,J"	70	10	6	35.4	41.4	59	4.3	8	12	16	5	25	30	47	3.6	6	12	0	S(5) R(3)	4- 0	0	11	3WR-C	E	12
SLN	"Lynn,L"	186	11	18	9.6	27.6	25	3.4	6	10	29	6	7	12.9	15.6	1.4	3	12	0	S(6)	2-16	0	1	1WS-C	E	10
SLN	"Lyons,T*"	54	33	13	3.8	16.9	7.4	0	0*	15	51	8	10.8	18.8	17.5	0	0	3	3	R(2) C(2)	3-27	0	3	1WL-C	E	10
WAN	"Madson,R"	59	53	0	7.6	7.6	11.2	0	0	10	37	0	2.5	2.5	4.9	0	0*	12	5	R(1) C(1)	5- 0	0	0	1WL-C	E	10
LAN	"Maeda,K"	134	17	5	18.6	23.5	33.9	3.4	5	4	45	4	11.3	15.3	25.9	2.8	4	0	-1	S(5) R(4) C(0)	2-33	0	6	1WR-C	E	14
OAA	"Manaea,S*"	159	15	1	14.6	15.6	20.3	0.6	0	5	24	10	19	29	34.3	1.8	3	5	-2	S(6)	2-10	0	10	1WR-B	E	10
TEA	"Marinez,J"	58	13	14	20.4	34.5	35	0	0	8	16	9	22	31	40.2	2.2	4	8	-4	R(2)	3- 0	0	20	1WR-C	E	10
CON	"Marquez,G"	162	18	6	24.5	30.5	35	0.2	0	5	27	5	20.2	25.2	44.3	4.5	7	5	0	S(6)	2-18	0	7	2WR-A	E	12
HOA	"Martes,F"	54	38	16	17.3	33.3	25	1.6	1	0	36	17	14.3	31.3	27.5	1.8	2	3	-1	S(5) R(3)	4- 0	0	20	1WR-C	E	10
SLN	"Martinez,C"	205	24	12	15.4	27.5	28.9	2.2	3	9	39	5	6.6	11.6	15	1.8	4	8	0	S(6*)	3-28	0	9	2WR-B	E	14
TEA	"Martinez,N"	111	8	10	18.1	28.1	36.3	2.8	5	9	6	0	18	18	40.8	6.3	8	10	0	S(5) R(3)	3-26	0	5	1WL-D	E	12
SDN	"Maton,P"	43	20	7	20.1	27.1	45.7	7.5	8	3	38	9	7.4	16.5	23.5	4.2	7	0	-4	R(1) C(0)	3- 0	0	0	1WR-C	E	10
NYN	"Matz,S*"	67	3	17	23.1	40.1	34.5	0	0	12	11	0	26.8	26.8	47.7	4.8	8	14	6	S(5)	4-22	0	2	2WR-A	E	13
KCA	"Maurer,B"	59	34	5	21.3	26.3	35.2	0.2	0	2	17	5	30	35	53.2	3.2	5	2	-1	R(1) C(6)	4- 0	0	3	1WR-C	E	10
CLA	"McAllister,Z"	62	23	10	18.3	28.3	32	3.6	6	14	42	10	8.1	18	11.9	0.6	1	9	0	R(2)	3- 0	0	11	1WR-C	E	10
LAN	"McCarthy,B"	93	20	2	19.9	21.9	26.3	0	0	10	15	12	19.9	31.9	22.3	0	0	10	6	S(6) R(3)	4- 0	0	9	1WR-C	E	10
KCA	"McCarthy,K"	45	6	7	29.4	36.3	38.8	3	6	5	6	5	20	25	24.2	0	0	5	-2	R(2)	4- 0	0	4	1WR-C	E	10
HOA	"McCullers,L"	119	38	2	17	19	22.2	0	0	8	29	13	21.4	34.4	32.4	0	0	7	-3	S(5)	2-36	3	15	1WL-C	E	10
ARN	"McFarland,T*"	54	20	0	12.1	12.1	14.2	0.2	0	12	0	3	34	37	43	0.6	0	12	-1	R(2)	4- 0	0	7	1WL-C	E	10
CON	"McGee,J*"	57	37	5	21.5	26.5	29.5	1.4	2	6	28	7	8.8	15.8	17.8	0	0	9	-3	R(1) C(2)	4- 0	0	20	1WL-C	E	10
MMN	"McGowan,D"	78	6	3	25.4	28.4	32.7	2	3	6	29	9	17	26	39.7	4.1	8	4	1	R(2)	2-19	0	14	1WR-C	E	10
HOA	"McHugh,C"	63	17	8	28.3	36.3	47.3	0	0	10	34	7	12.2	19.2	24.9	2.2	3	8	0	S(5)	3-23	0	14	1WR-C	E	10
MNA	"Mejia,A*"	98	28	6	22	28	42	6	8	4	18	12	21.8	33.8	37	1.2	1	4	-1	S(5)	3-51	8	3	1WR-C	E	10
SFN	"Melancon,M"	30	18	5	19.5	24.5	32.5	1.4	4	7	30	0	38.8	38.8	51.8	0	0	3	0	R(1) C(4)	3- 0	0	14	1WR-C	E	10
OAA	"Mengden,D"	43	23	0	20	20	36.8	2.2	4	12	5	10	2.6	12.6	10.4	2.6	4*	12	-6	S(6)	2- 0	0	11	3WR-B	E	10
LAA	"Meyer,A"	67	34	24	9.5	33.5	19.6	1.2	2*	3	32	21	2.7	23.6	5.1	0	0*	3	7	S(5)	3- 0	5	16	3WR-D	E	10
LAA	"Middleton,K"	58	32	3	22.5	25.5	32	1.4	2	0	25	8	18.1	26.1	41.1	5	8	0	-4	R(1) C(2)	3- 0	0	7	1WR-C	E	10
BAA	"Miley,W*"	157	21	24	11.7	35.7	16	0	0	7	19	17	22.3	39.3	35.3	2.8	4	7	-4	S(5)	1-18	0	0	2WL-B	E	10
CLA	"Miller,A*"	63	46	19	2.6	21.6	2.6	0	0*	0	71	7	0	7	0	0	0*	0	-1	R(2) C(1)	4- 0	0	3	1WL-C	E	10
PHN	"Milner,H*"	31	12	11	6.3	17.3	8.1	0	0	2	11	16	34	50	46.6	0	0	0	-6	R(1)	2- 0	0	0	1WL-C	E	10
NYN	"Milone,T*"	48	18	0	11.3	11.3	35.5	3.2	4	0	12	3	35	38	72.4	9.8	8	0	0	S(5) R(3) C(0)	2- 0	0	0	1WL-B	E	10
CHA	"Minaya,J"	44	44	18	4.6	22.5	15.9	3.8	7*	4	33	14	15.4	29.4	31.4	2	2	5	9	R(1) C(4)	4- 0	7	10	1WR-C	E	10
KCA	"Minor,M*"	78	53	8	2.8	10.9	4.3	0	0	6	34	2	13.3	15.3	24	0	0	10	0	R(2) C(2)	3- 0	0	15	1WR-C	E	10
SEA	"Miranda,A*"	160	14	8	13.1	21.1	30.5	3.6	6	0	23	12	11.1	23.1	33.2	5.8	8	0	-4	S(5) R(3)	2-27	0	11	1WL-D	E	12
NYA	"Mitchell,B"	33	6	16	22.3	38.3	34.6	0	0	0	0	5	34.2	39.2	42.2	0	0	0	-2	R(2) C(0)	2-51	0	12	1WL-C	E	10
OAA	"Montas,F"	32	5	29	24	53	72.7	15.8	8	1	36	13	15.9	28.9	23.2	2.4	5	0	1	R(2)	4- 0	0	5	1WR-C	E	10
NYN	"Montero,R"	119	23	13	23.6	36.7	32.3	0.8	0	6	23	21	23.9	44.9	31.6	1.2	2	2	3	S(5) R(3)	5- 0	3	10	1WR-D	E	12
NYA	"Montgomery,J*"	155	10	9	7.2	16.1	19	3.8	4	4	27	8	16.5	24.5	25.8	2	2	4	-3	S(5)	4-10	3	10	1WL-C	E	10
CHN	"Montgomery,M*"	131	9	6	15.7	21.7	21.5	1	2	11	20	14	10.1	24.1	13.6	0.4	0	11	0	S(5) R(3) C(3)	4- 0	0	12	6NL-B	E	10
SEA	"Moore,A"	59	1	0	19.7	19.7	53.1	8.8	8	4	6	0	18.9	18.9	34.9	3.2	6	4	-3	S(6) R(4)	3- 0	0	0	1WR-C	E	10
SFN	"Moore,M*"	174	9	11	38	49	67.3	4.1	8	4	19	8	16.8	24.8	31.5	1.8	5	3	0	S(6)	4-24	0	12	1WL-A	E	12
PHN	"Morgan,A*"	55	55	6	7.9	13.9	20.3	2.2	3	0	19	7	19.3	26.3	35.1	4.2	6	2	7	R(3)	2- 0	0	3	3WL-C	E	10
LAN	"Morrow,B"	44	47	1	0	1	0	0	0*	4	34	2	16.5	18.5	17.7	0	0	5	2	R(1) C(1)	4- 0	0	11	1WR-C	E	10
HOA	"Morton,C"	147	50	8	4.4	12.4	7.3	0.6	0	8	21	9	23.5	32.5	45.8	1	1	8	-6	S(6)	3-39	0	5	1WR-C	E	10
ATN	"Motte,J"	41	0	17	4.2	21.2	13.2	2.4	3*	12	19	17	7.3	24.3	20.1	2.8	3*	12	9	R(1)	2- 0	0	5	1WR-C	E	10
KCA	"Moylan,P"	59	11	24	17.3	41.3	33.2	3.8	7	4	19	9	2.8	11.9	5.2	0	0	4	-4	R(1)	2-24	0	3	1WR-C	E	10
HOA	"Musgrove,J"	109	35	3	23	26	37.2	1.8	3	6	10	6	25	31	42	3.2	5	7	-6	S(5) R(3) C(1)	1-13	0	8	1WR-C	E	10
MLN	"Nelson,J"	175	45	8	15.4	23.4	26.1	2	1	3	29	2	23.8	25.8	26.4	0	0	14	3	S(6)	4-16	2	7	1WR-D	E	10
PHN	"Neris,H"	75	35	8	22.1	30.1	28.7	0.4	0	3	38	7	7.6	14.6	18	2.8	4	5	0	R(1) C(5)	2-19	5	5	1WR-C	E	10
CON	"Neshek,P"	62	35	0	14.1	14.1	27.5	0	0	3	42	0	9.3	9.3	10.3	0	0	3	0	R(1) C(0)	3- 0	0	0	1WS-C	E	10
ATN	"Newcomb,S*"	100	29	13	19.2	32.2	35	0	0	3	29	18	15.9	33.8	27	1.4	2	1	-3	S(5)	3-14	0	5	1WL-B	E	10
SLN	"Nicasio,J"	72	53	0	9.5	9.5	15	0	0	4	11	10	10.4	20.4	20.6	1	2	4	1	R(1) C(2)	2-20	0	2	1WR-C	E	13
MMN	"Nicolino,J*"	48	0	0	51.7	51.7	68.1	2.2	5	8	5	10	26.2	36.1	44.7	2.8	5	9	1	S(5) R(3)	3-51	0	0	1WL-C	E	12
PHN	"Nola,A"	168	28	9	18.3	27.3	30.3	1	1	5	38	3	14.9	18	23.3	1.8	1	7	7	S(6)	3- 0	0	0	1WR-C	E	10
LAA	"Nolasco,R"	181	9	7	22.4	29.4	36.9	2	3	4	23	7	25.1	32.1	50.9	5	8	1	-2	S(6)	2-16	0	4	1WR-C	E	10
LAA	"Norris,B"	62	44	21	3.7	24.7	4.3	0	0	1	32	4	20.3	24.3	35	4.3	8	3	8	S(5) R(3) C(5)	2-46	0	20	1WR-B	E	13
DEA	"Norris,D*"	102	19	14	21.6	35.6	52.8	6.5	8	4	19	9	25.6	34.7	38.3	0.2	0	4	6	S(5) R(3)	3- 0	0	1	1WL-C	E	10
PIN	"Nova,I"	187	4	0	27.8	27.8	45.4	3.4	5	11	19	2	16.5	18.5	30.1	1.8	4	12	0	S(6)	3- 8	0	9	1WR-A	E	12
CON	"Oberg,S"	58	16	11	25.5	36.5	41.5	0	0	8	25	9	28.8	37.8	38	0	0	6	-1	R(1)	2- 0	0	10	1WR-C	E	10
BAA	"O'Day,D"	60	45	14	3.6	17.6	8.4	1.6	2	3	47	10	5.3	15.3	14.4	2.2	3	2	0	R(1) C(1)	2-24	7	0	1WR-C	E	10
TBA	"Odorizzi,J"	143	22	11	8.9	19.9	22.9	3.4	6	0	21	15	10.1	25.1	28.9	5	8	0	0	S(5)	2-20	0	1	3WR-B	E	10
MMN	"O'Grady,C*"	33	34	12	9.9	21.8	17.6	0	0	6	14	21	25.4	46.4	50.4	3.8	7	3	-2	S(5) R(3)	3- 0	12	0	1WR-B	E	10
SLN	"Oh,S"	59	13	0	28.1	28.1	58.1	7.5	8	0	29	0	16.1	16.1	22.6	0.6	1	0	-2	R(1) C(5)	3- 0	0	3	1WR-C	E	10
SFN	"Osich,J*"	43	21	29	10.7	39.7	27.5	4.5	8	3	19	12	24.8	36.8	35.7	1.2	3	5	0	R(1)	4- 0	0	20	1WL-C	E	10
