TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
SLN	"Fowler,D+"	420	9	14	19.5	35.5	44.6	3.5	w	-3	16	27	16	19.4	37.4	38.8	3.3	6	-8	13	*7/- (16-6)	C	14	D	C							402		cf-4(0)e2
PHN	"Franco,M"	575	8	4	11.2	16.2	22.6	3.4	4	0	26	9	5	18.4	24.4	32.2	2.6	3	-2	26	-/- (---)	E	10	D	C		305		417					3b-4e17 1b-3e5
LAA	"Franklin,N+"	106	51	0	0	6	0	0	w*	0	4	12	11	11	28	15.9	0.4	0	5	3	4/- (20-6)	D	14	D	D			441		448	314		414	2b-4e41 lf-3(+1)e14 rf-4e14 ss-4e48
PIN	"Frazier,A*"	406	13	2	32.9	38.9	32.9	0	w	8	17	3	7	23.3	34.3	42.6	3.2	w	8	15	*3-6/- (15-11)	B	15	D	C			437	435	488	403	403	403	lf-4(+1)e3 2b-4e37 rf-4e3 3b-4e35 cf-4e3 ss-4e88
NYA	"Frazier,C"	134	47	0	24.5	24.5	49.6	1.6	1	-1	11	38	7	17.4	24.4	40.9	1.6	1*	0	11	2/- (20-6)	E	13	D	D						310		310	lf-3(-1)e10 rf-3e10
NYA	"Frazier,T"	474	22	20	7.2	33.2	28.8	7.2	8*	0	13	23	23	9.1	38	19.6	2.5	4	0	11	"5,6/12 (13-7)"	D	12	D	D		330		317					3b-3e17 1b-3e30
ATN	"Freeman,F*"	440	26	9	21.9	33.9	43.1	5	8	-4	14	15	14	26.6	43.7	51.4	4.2	7	-4	14	"*6,7/12 (15-9)"	C	12	D	D		207		511					1b-2e7 3b-5e11
PIN	"Freese,D"	426	21	19	25.3	51.3	28.3	1	1	5	12	26	13	17.3	37.3	21.4	0.5	0	5	14	6/- (3-1)	E	10	D	D		313		318					3b-3e18 1b-3e13
ARN	"Fuentes,R*"	136	43	1	11.2	12.2	11.2	0	w	-9	0	28	2	20.1	22.1	29	1.2	1	-10	0	"*4,6/- (18-12)"	C	15	D	C						209	309	309	cf-3(-1)e9 lf-2e9 rf-3e9
TEA	"Gallo,J*"	449	51	21	7.9	32.9	27.1	5.7	8*	0	1	50	21	10	35	39.8	9.9	8*	0	1	*5/- (18-6)	C	14	D	D		306		332		310			3b-3e32 1b-3e6 lf-3(-3)e10
PHN	"Galvis,F+"	608	2	0	23.4	24.4	36	2.3	w	4	17	19	6	21.9	28.9	32.3	1.3	0	4	15	"*4,6/- (17-11)"	B	14	B	C					107		416		ss-1e7 cf-4(+2)e16
SEA	"Gamel,B*"	509	41	0	31.3	31.3	51.6	1.8	w	0	12	20	6	27.2	33.2	36.5	1	1	0	11	3/- (16-6)	D	14	D	C		425				306		306	lf-3(0)e6 rf-3e6 1b-4e25
CHA	"Garcia,Av"	518	16	0	58.3	62.3	82.6	3.2	w	-11	16	20	4	31.3	39.3	44.2	2.4	4	-11	16	7/- (13-6)	D	14	D	D								311	rf-3(-2)e11
ATN	"Garcia,Ad"	173	0	0	14.7	16.7	26.1	3.8	6	-3	33	2	0	20.2	22.2	23	0.8	1	-3	33	*5/- (20-6)	C	13	D	B				421		503			3b-4e21 lf-5(+1)e3
SLN	"Garcia,G*"	241	39	23	1.3	29.3	1.3	0	w*	0	13	23	17	21.6	43.7	31.3	1.8	w	-7	15	5/- (13-6)	D	12	B	D			320	412	418				3b-4e12 2b-3e20 ss-4e18
CHA	"Garcia,L+"	300	10	0	27.9	33.9	31.6	0	w	6	8	28	0	22.1	28.1	36.5	2.5	4	6	8	*2-7/12 (15-11)	B	15	C	C			318		376	307	307	407	lf-3(-1)e7 cf-3e7 rf-4e7 2b-3e18 ss-3e76
CHA	"Garcia,W"	105	30	17	15.5	32.5	27.5	4	6	4	13	35	10	18.1	28.1	40.3	0	w	4	14	-/- (---)	E	13	D	C						311	411	411	lf-3(-2)e11 rf-4e11 cf-4e11
NYA	"Gardner,B*"	594	12	11	14.6	28.7	17.8	0.3	0	-3	2	17	13	26	42	40.3	3	2	-8	2	"*4,6/- (18-12)"	A	17	B	C						100	300		lf-1(-3)e0 cf-3e0
OAA	"Garneau,D"	112	35	10	8.3	20.3	20.1	1.8	2*	0	19	40	14	11.1	27.1	21.4	0	w*	0	17	-/- (---)	E	10	D	D	301								c-3(-2)e1,T-8(pb-10)
HOA	"Gattis,E"	300	12	2	18.9	23.9	36.1	3	5	10	24	9	5	23.3	31.3	39.3	2.3	3	10	23	"5,6/- (3-1)"	E	10	D	C	416	530							c-4(+2)e16,T-15(pb-1) 1b-5e30
CIN	"Gennett,S*"	461	37	1	21.2	24.2	33.5	2.8	4	2	22	23	3	28.7	33.7	49.3	4.8	8	2	24	6/- (13-6)	D	13	C	D			313	441		514		514	2b-3e13 3b-4e41 lf-5(+2)e14 rf-5e14
BAA	"Gentry,C"	101	28	13	22.1	37.2	37.4	1.8	2	5	4	12	11	18	31	21.8	0	w	5	4	"*2-9,12/10,11 (15-9)"	C	16	B	C						214	314	214	rf-2(0)e14 lf-2e14 cf-3e14
MNA	"Gimenez,C"	186	33	21	9.6	34.6	18.7	1.8	3	-2	7	34	25	10.2	39.2	18.8	1.9	2	-3	7	2/- (20-6)	E	10	C	D	302	420		516		410			c-3(0)e2,T-1(pb-8) 1b-4e20 lf-4(+1)e10 3b-5e16
TOA	"Goins,R*"	418	35	8	20.6	28.6	27.8	0	w	12	22	19	5	17.3	22.3	24.9	1	1	12	24	7/- (13-6)	D	12	A	C			211	339	208				ss-2e8 2b-2e11 3b-3e39
ARN	"Goldschmidt,P"	558	16	16	24.4	43.4	46.9	6.4	8	3	15	26	19	21.4	43.4	42.1	4.2	7	3	18	"*4,5/- (18-11)"	B	16	D	C		104							1b-1e4
CLA	"Gomes,Y"	341	35	12	12.6	29.5	33.8	6.6	8	0	14	32	8	14.6	27.6	20.9	0.8	1	-3	17	-/- (---)	E	12	D	D	101								c-1(-3)e1,T-20(pb-2)
TEA	"Gomez,C"	368	49	0	15.3	26.3	20.7	0.8	0	-5	3	37	10	17.1	38.2	33.6	3	6	0	2	*4-6/- (17-13)	B	14	C	D							307		cf-3(-2)e7
LAN	"Gonzalez,A*"	231	12	5	10.7	15.7	10.7	0	w	8	22	16	3	22.2	25.2	43.7	3.3	w	8	21	"2-5,12/- (3-1)"	E	8	D	C		306							1b-3e6
CON	"Gonzalez,C*"	470	40	0	13.5	14.5	24.3	0.4	0	-1	16	20	17	22.8	40.8	36.4	1.8	2	-7	13	2/- (20-6)	D	13	D	C								204	rf-2(-3)e4
CLA	"Gonzalez,E"	110	60	0	20.4	20.4	23.9	1.2	2	-10	3	40	0	23.2	23.2	40.6	3	4	-8	5	"*2-6,9/7,8,10-12 (15-4)"	D	14	D	D			306	318	368	416			2b-3e6 ss-3e68 3b-3e18 lf-4(+1)e16
HOA	"Gonzalez,M+"	455	16	8	20.4	31.4	39.3	2.3	4	7	12	21	10	29.8	42.8	48	3.5	6	7	13	*6/- (17-6)	C	14	B	C		215	311	331	310	303		403	lf-3(-1)e3 ss-3e10 1b-2e15 3b-3e31 2b-3e11 rf-4e3
WAN	"Goodwin,B*"	251	50	10	22.8	33.8	54.5	3.6	7*	0	10	28	6	17.6	24.6	39.4	3.8	8	-1	8	*5/- (20-11)	B	13	D	D						305	305	305	cf-3(-1)e5 lf-3e5 rf-3e5
KCA	"Gordon,A*"	476	15	14	9.7	29.7	13.9	0	w	4	8	31	6	11.5	23.5	16.3	0.6	1	4	9	"*2-5,12/- (15-11)"	C	13	D	D						102	302	302	lf-1(-3)e2 cf-3e2 rf-3e2
MMN	"Gordon,D*"	653	1	0	35.2	38.2	38.5	0	w	-15	7	8	0	36.8	39.8	45.3	0.9	w	-14	7	*3-6/- (19-15)	AA	17	A	C			113		448				2b-1e13 ss-4e48
LAN	"Grandal,Y+"	438	34	15	16.8	31.8	21.3	0.5	0	-9	15	38	6	18.5	24.5	39.1	4.5	6	-4	15	7/- (3-1)	E	8	D	D	303								c-3(0)e3,T-9(pb-6)
LAN	"Granderson,C*"	449	32	12	11	25	31.2	4	6*	0	5	27	21	9.1	32.2	26.6	4.2	7*	0	4	6/- (15-6)	C	13	D	D						303	403	403	cf-4(+2)e3 lf-3e3 rf-4e3
NYA	"Gregorius,D*"	534	8	0	27.6	28.6	32.6	1.2	1	-1	9	2	0	30.3	31.3	51.2	4.8	4	0	9	3/- (15-6)	D	13	D	C					112				ss-1e12
SLN	"Grichuk,R"	412	36	5	9.6	15.6	23.3	3.6	8	-3	18	42	2	19.8	22.8	45	4.8	8	-3	15	*5/- (19-6)	C	13	D	D						305	405	305	lf-3(0)e5 rf-3e5 cf-4e5
MNA	"Grossman,R+"	382	6	29	12.6	43.5	20.5	1.2	w	0	7	19	19	16.8	37.8	25.4	1	2	0	8	3/- (15-6)	D	13	D	C						516		516	rf-5(0)e16 lf-5e16
HOA	"Gurriel,Y"	529	6	0	28	31	38.4	0.3	0	-4	18	0	0	34.2	37.2	53.7	2.5	3	-4	18	6/- (13-6)	D	11	D	C		410	410	430					1b-4e10 3b-4e30 2b-4e10
CLA	"Guyer,B"	165	24	7	16.9	33.9	29.6	3.3	w	6	17	31	10	8.6	28.6	13.6	0	w	6	15	3/- (20-6)	D	12	C	D						307		307	rf-3(-1)e7 lf-3e7
SLN	"Gyorko,J"	426	6	9	32.2	41.2	58.8	7.2	8	5	21	28	14	18.6	32.6	31.1	2.5	5	5	18	6/- (15-6)	C	11	D	D		430	404	315		525			3b-3e15 1b-4e30 2b-4e4 lf-5(+3)e25
CIN	"Hamilton,B+"	582	26	0	17.4	17.4	27.5	1.3	w	-6	5	22	8	23	31	34.2	1.5	w	-4	4	"*2-6,11/- (19-15)"	AA	17	A	C							104		cf-1(-3)e4
CON	"Hanigan,R"	101	9	11	35	48	44.4	0.8	0	-4	29	34	1	20	23	20.5	0.2	0	-4	30	-/- (---)	E	8	D	C	305								c-3(0)e5,T-1(pb-1)
SEA	"Haniger,M"	369	19	1	20.1	26.1	36.6	2.8	5	-9	20	27	10	27.6	42.6	45.9	2.7	4	-8	16	*2-6/10 (15-8)	C	13	D	D						212	312	212	rf-2(-2)e12 cf-3e12 lf-2e12
CHA	"Hanson,A+"	217	23	8	19.3	28.3	28.9	1.2	2	-9	17	26	1	17.1	19.1	35	3.4	w	-6	18	*4-6/- (19-14)	A	17	C	D			408	415	448	325	425	325	2b-4e8 lf-3(-1)e25 rf-3e25 cf-4e25 ss-4e48 3b-4e15
CHN	"Happ,I+"	364	39	0	24.9	26.9	39.6	3.3	5	1	23	47	13	14.7	29.7	42.4	7.6	8	1	10	"*2-6,11/- (15-12)"	B	14	D	C			411	437		405	405	405	cf-4(0)e5 2b-4e11 lf-4e5 rf-4e5 3b-4e37
BAA	"Hardy,J"	254	18	3	11.5	15.5	22.9	2.6	w	-1	21	12	1	18.8	20.8	37.2	3.6	w	-1	22	4-6/- (3-1)	E	11	D	D					212				ss-2e12
WAN	"Harper,B*"	420	35	7	35.3	42.3	47.1	1.6	2	-6	16	18	19	29	48	63.9	9.5	8	-5	21	6/- (13-6)	D	13	C	C								203	rf-2(-3)e3
PIN	"Harrison,J"	486	13	5	24.1	39.1	37.3	3.8	8	-13	4	11	2	24.1	36.1	35	1.3	2	-13	5	"*4,6/- (17-11)"	B	15	B	C			215	317		416			2b-2e15 3b-3e17 lf-4(0)e16
NYA	"Headley,C+"	512	21	2	24	28	35.7	1	1	0	16	28	16	25.3	43.3	30.5	0.3	0	-2	12	5/- (16-6)	C	12	B	D		404	471	325					3b-3e25 1b-4e4 2b-4e71
OAA	"Healy,R"	576	22	0	33.3	35.3	51.5	4	7	-5	20	28	0	23.8	25.8	36.7	2.8	5	-7	22	6/- (3-1)	E	11	D	D		409		462					1b-4e9 3b-4e62
TBA	"Hechavarria,A"	330	19	0	20.5	21.5	32.4	0.9	1	-2	18	17	0	28	29	38.5	0.9	1	-2	18	5/- (16-6)	C	14	C	C					107				ss-1e7
SDN	"Hedges,A"	387	37	0	13.5	15.5	20.5	1.2	2	7	21	40	3	11.3	16.3	27.4	4.2	8	7	17	5/- (16-6)	C	9	D	D	202								c-2(-1)e2,T-20(pb-0)
SEA	"Heredia,G"	386	10	3	33.3	42.3	41	1	0	-14	17	9	5	17	28	25.4	2.4	w	-10	16	"6/2,8-12 (13-1)"	E	14	C	C						203	203	203	lf-2(-2)e3 cf-2e3 rf-2e3
PHN	"Hernandez,C+"	511	2	11	26.8	39.7	53.3	2.4	w	-6	10	23	13	30.4	45.3	32.6	0.2	0	-14	10	"*4,5/- (17-11)"	B	14	A	D			214		416				2b-2e14 ss-4e16
LAN	"Hernandez,E"	297	19	18	16.2	34.2	43.1	5.4	8*	0	8	37	15	8	23	18.4	1.2	w*	0	7	2/- (20-6)	C	14	D	D		425	347	419	429	304	404	304	ss-4e29 lf-3(-1)e4 cf-4e4 rf-3e4 3b-4e19 2b-3e47 1b-4e25
SFN	"Hernandez,G"	310	24	9	20.8	31.8	29.3	0	w	-3	13	19	10	22.6	34.7	29.5	0	w	-9	14	"*2-5,12/- (17-12)"	B	15	B	C						204	304	204	lf-2(0)e4 cf-3e4 rf-2e4
PHN	"Herrera,O*"	526	26	0	32.5	34.5	53.2	1.8	2	-13	17	25	2	28.4	32.4	43.6	1.3	1	-9	19	"*6,7/12 (15-9)"	C	13	B	C							203		cf-2(0)e3
ARN	"Herrmann,C*"	226	29	1	3.2	4.2	11.6	2.8	5*	0	0	35	18	5.9	24	14.8	2.8	4*	0	0	*4/- (20-6)	B	13	D	D	401	430				409		409	c-4(+2)e1,T-3(pb-1) lf-4(+1)e9 1b-4e30 rf-4e9
CHN	"Heyward,J*"	432	20	0	27.7	29.7	43.2	2	w	0	15	3	12	19.5	33.5	25.2	1.5	3	-2	13	2-5/10 (13-6)	D	13	D	C							303	103	rf-1(-4)e3 cf-3e3
NYA	"Hicks,A+"	301	15	15	29.7	46.7	43.6	2.5	4	-8	17	19	25	13.8	40.8	28.3	3.3	3	0	14	"*2-6,11,12/- (15-12)"	B	14	C	C						204	204	204	cf-2(-2)e4 lf-2e4 rf-2e4
DEA	"Hicks,J"	173	50	7	17.9	28.9	35.4	3.5	5	0	14	24	7	25.4	36.3	37.6	1.3	1	-4	23	"4,6/- (13-6)"	D	12	D	D	316	416							"1b-4e16 c-3(0)e16,T-20(pb-2)"
NYA	"Holliday,M"	373	36	21	14	37	26.8	4	5	1	19	33	14	13.4	29.5	28.1	3.4	4	1	21	2/- (20-6)	E	9	D	D		530							1b-5e30
BOA	"Holt,B*"	140	7	10	15.1	30	15.1	0	w	-6	14	24	17	7.6	29.7	11.8	0	w	0	13	"5,6/- (13-6)"	D	13	D	D		430	316	319		305		405	2b-3e16 3b-3e19 lf-3(+1)e5 1b-4e30 rf-4e5
PHN	"Hoskins,R"	170	21	36	11.6	50.6	46.4	11.6	8*	0	3	23	27	14.9	45	46.8	9.2	8*	0	3	2/- (20-6)	D	11	D	D		421				406			lf-4(+1)e6 1b-4e21
KCA	"Hosmer,E*"	603	4	3	29.2	32.2	41.3	2.1	4	-4	25	13	15	33.9	48.9	47.3	2.8	6	-3	21	3/- (17-6)	C	14	C	C		204							1b-2e4
SFN	"Hundley,N"	287	30	0	33.3	33.3	58.9	3.2	7	-10	15	35	0	15.3	15.3	27.1	1	3	-4	18	-/- (---)	E	10	D	D	303								c-3(0)e3,T-16(pb-2)
ARN	"Iannetta,C"	272	24	21	21.2	47.1	39.2	5.6	8	-7	4	38	16	14.6	35.6	36.8	4	6*	0	4	-/- (---)	E	9	D	D	405			565					c-4(0)e5,T-17(pb-0) 3b-5e65
DEA	"Iglesias,J"	463	0	0	23.6	23.6	38.1	2.5	w	13	9	7	2	22.3	24.3	41.3	3	w	13	9	*4-6/- (15-11)	C	14	C	B					108				ss-1e8
ATN	"Inciarte,E*"	662	0	10	30.2	40.2	32.3	0.2	0	-7	7	8	2	33.5	35.5	39.2	0	0	-7	8	*4-6/- (16-12)	A	16	A	B							103		cf-1(-3)e3
CLA	"Jackson,A"	280	16	19	35.6	55.6	55.6	1.5	2	-9	22	25	10	28.8	39.8	34.9	0	0	-9	34	4/- (15-6)	C	14	D	D						304	304	304	cf-3(0)e4 lf-3e4 rf-3e4
PIN	"Jaso,J*"	256	17	16	10.9	31	25.4	1.8	3*	0	12	26	17	11.2	32.2	25	2	3*	0	12	6/12 (13-5)	E	11	D	D		408				507		507	rf-5(+1)e7 1b-4e8 lf-5e7
CHN	"Jay,J*"	379	11	17	31.9	54.9	31.9	0	w	-5	17	20	4	28	38	39.2	1.4	w	-6	20	6/- (15-6)	C	14	B	C						300	300	300	cf-3(+1)e0 lf-3e0 rf-3e0
BAA	"Jones,A"	597	17	4	22.5	28.5	34.3	2.1	2	3	22	13	0	29.3	31.3	42.4	3.2	5	3	23	3/- (13-6)	E	13	C	C							206		cf-2(-1)e6
DEA	"Jones,J"	141	81	1	3.4	10.4	10	2.2	4*	0	8	59	6	6.4	18.4	18.1	3	w	0	17	*3-6/- (18-14)	B	15	D	D							204		cf-2(0)e4
SFN	"Jones,R*"	150	52	0	0	6	0	0	w*	0	15	44	0	10.9	16.9	29	3.4	w*	0	15	2/- (20-6)	E	11	D	D		319		312		410			1b-3e19 3b-3e12 lf-4(0)e10
BAA	"Joseph,C"	254	39	0	22.4	23.4	44	3.5	5	-1	20	32	0	24.3	25.3	33.3	1.3	1	-1	23	-/- (---)	E	10	D	D	302			465					c-3(+1)e2,T-5(pb-0) 3b-4e65
PHN	"Joseph,T"	495	31	8	14	23	28.6	3.8	5	0	23	26	3	20	24	35	2.8	3	0	27	2/- (20-6)	E	9	D	C		511							1b-5e11
OAA	"Joyce,M*"	469	26	11	10.3	22.3	14.9	0.3	0	-4	15	21	18	16.7	35.7	38.7	4.5	8	-2	14	3/- (16-6)	D	12	D	C						409	409	409	rf-4(-1)e9 lf-4e9 cf-4e9
NYA	"Judge,A"	542	26	41	7.8	50.8	22.9	4.3	6*	0	9	29	26	21.6	49.6	55.5	10.1	8	0	9	"4,5/- (14-6)"	C	14	D	D								206	rf-2(-3)e6
ATN	"Kemp,M"	438	10	6	21.3	27.3	26.5	1.8	1	-7	33	24	1	28.1	29.1	46.3	3.3	5	-7	29	4-6/- (3-1)	E	9	D	C						502			lf-5(+2)e2
WAN	"Kendrick,H"	305	15	12	29.3	44.3	41.3	2.4	4	1	17	22	3	33.3	39.3	45.4	0.9	0	1	20	*4-6/- (17-13)	B	13	C	C		324	422			403		403	lf-4(+1)e3 2b-4e22 rf-4e3 1b-3e24
MNA	"Kepler,M*"	511	40	2	3.5	7.5	8.6	0.8	0	0	6	14	10	22.4	34.4	39.8	2.8	5	-1	5	4/- (17-6)	C	14	C	C							302	202	rf-2(-1)e2 cf-3e2
TBA	"Kiermaier,K*"	380	30	4	25.1	32.1	30.9	2	3	-12	3	24	7	27.9	37.9	45.6	3.2	5	-6	3	*3-6/- (17-13)	B	16	B	D							110		cf-1(-4)e10
PHN	"Kim,H*"	212	51	5	1.2	8.2	1.2	0	w*	0	9	18	9	18.4	29.4	23.9	0.9	w	-1	9	-/- (---)	E	11	D	C						402		402	lf-4(+2)e2 rf-4e2
DEA	"Kinsler,I"	551	1	11	20.9	34.9	44.1	3.4	6	0	9	7	11	14.3	28.3	24.1	2.2	3	0	10	"*5,6/- (17-11)"	B	14	D	D			112						2b-1e12
CLA	"Kipnis,J*"	336	17	9	14.5	24.5	27.5	1.2	2*	0	0	21	6	17	24	33.4	2.2	4	0	0	*7/- (17-6)	C	14	D	B			316				416		2b-3e16 cf-4(+2)e16
CIN	"Kivlehan,P"	178	37	15	10.3	28.3	27	5.6	8	0	5	42	14	8.4	25.5	20.3	2	3	0	5	4-6/8-10 (13-4)	E	12	D	D		405		327		413	413	413	rf-4(0)e13 lf-4e13 3b-3e27 1b-4e5 cf-4e13
PHN	"Knapp,A+"	171	38	16	13.1	29.1	22.9	0	w	-1	26	39	20	23	43	26.9	0.5	0	-11	16	2/- (20-6)	E	11	D	D	403	425							c-4(+1)e3,T-11(pb-1) 1b-4e25
CHN	"La Stella,T*"	125	0	0	33	36	42	3	6	4	19	6	21	21.3	45.3	34.9	2.3	4	4	14	-/- (---)	E	12	D	B			411	430					2b-4e11 3b-4e30
NYN	"Lagares,J"	252	25	4	20.6	27.6	38.6	2.8	w	-5	18	18	3	24.7	30.7	41	2.3	w	-7	19	"*2-5,11,12/- (16-12)"	B	15	B	C							108		cf-1(-2)e8
ARN	"Lamb,J*"	536	47	18	2.2	23.2	8.8	2.2	4*	0	16	25	15	18.9	36.9	41	4.4	7	0	18	"4,5/12 (13-6)"	C	13	D	C				416					3b-4e16
CON	"LeMahieu,D"	609	0	12	38.8	52.8	51	1.5	2	-1	25	6	10	28.1	40.1	36.2	1.4	w	-1	26	"5,6/11 (13-7)"	D	14	B	B			108						2b-1e8
BOA	"Leon,S+"	271	18	11	16.4	28.4	29.6	1	1	6	12	36	6	12.8	19.8	17.4	0.8	2	8	14	-/- (---)	E	9	C	C	202								c-2(-3)e2,T-14(pb-4)
WAN	"Lind,A*"	267	16	6	35.8	41.8	37.8	0	w	-4	17	13	7	28.8	35.8	49.2	5.1	8	-4	16	2/- (20-6)	E	9	D	C		427				507			1b-4e27 lf-5(+2)e7
CLA	"Lindor,F+"	651	6	7	27.8	35.8	46.6	3.3	6	-5	12	7	6	18.9	25.9	38.8	3.5	6	0	13	*6/- (19-11)	B	15	B	C					110				ss-1e10
WAN	"Lobaton,J+"	141	10	0	3.9	5.9	3.9	0	w	-2	26	32	12	4.3	18.4	11.4	2.3	4*	0	22	-/- (---)	E	9	D	D	307								c-3(+1)e7,T-14(pb-2)
TBA	"Longoria,E"	613	21	13	10.7	25.8	18.4	2.5	5	9	19	7	3	26.9	31.9	39.8	1.3	2	9	22	3/- (17-6)	D	12	D	C				114					3b-1e14
OAA	"Lowrie,J+"	567	18	17	20.2	38.2	40.3	2.7	w	-1	11	9	13	26.1	40.1	41.5	1.2	1	0	12	5/- (3-1)	E	12	D	C			406	417					2b-4e6 3b-4e17
CON	"Lucroy,J"	423	0	7	20.6	31.6	31.2	1.8	w	-9	25	0	11	23.3	38.3	38.5	3	w	-9	24	2/- (20-6)	E	10	D	C	303	408							c-3(-1)e3,T-4(pb-1) 1b-4e8
DEA	"Machado,D"	166	11	7	19	27	19	0	w	-10	25	16	3	27.4	31.4	37.9	1.8	w	-11	26	2/- (20-6)	E	11	C	C			324	337	212				ss-2e12 2b-3e24 3b-3e37
BAA	"Machado,M"	630	11	5	23.6	28.6	47.3	3.8	5	-3	20	12	7	20.1	27.1	33.8	3.8	6	-3	20	"*4,5/- (16-6)"	C	13	C	C				115					3b-1e15
DEA	"Mahtook,M"	348	18	1	22.6	27.6	42.8	2.8	4	-7	6	22	7	27.5	38.5	38.8	1.4	2	-10	6	3/- (20-6)	C	14	D	D						304	304	304	cf-3(+1)e4 lf-3e4 rf-3e4
TOA	"Maile,L"	130	36	0	5.7	8.6	10.1	0	w*	0	11	28	0	3.3	6.3	7.4	0.9	0*	0	11	3/- (20-6)	E	9	D	D	209								c-2(-1)e9,T-10(pb-5)
LAA	"Maldonado,M"	429	38	0	18.3	27.3	21.4	0	0	-12	17	28	0	15.6	24.6	26.2	2.3	3	-7	20	2-6/- (3-1)	E	9	C	C	101	530							c-1(-3)e1,T-3(pb-3) 1b-5e30
BAA	"Mancini,T"	543	28	0	30.4	32.4	36.8	1.8	2	2	17	26	6	27.5	35.5	45.8	3.4	5	2	16	2/- (20-6)	E	11	D	D		413				406		506	lf-4(0)e6 1b-4e13 rf-5e6
SDN	"Margot,M"	487	14	12	27.4	40.4	46.3	0.8	1	-8	6	20	5	24.2	30.2	31.9	1.5	1	-12	7	*4-6/- (17-13)	B	16	D	C							204		cf-2(-1)e4
HOA	"Marisnick,J"	230	50	11	18.7	34.7	38.9	4	8	-4	6	54	5	14.4	24.4	33.9	6.5	8	-5	12	"*2-6,12/- (17-13)"	B	16	B	D						105	105	205	cf-1(-2)e5 lf-1e5 rf-2e5
ATN	"Markakis,N*"	593	10	8	23	33	34.5	1	1	6	19	14	10	23.5	35.5	36.4	2	w	3	18	"4,5/- (3-1)"	E	11	D	B								301	rf-3(0)e1
BOA	"Marrero,D"	171	32	8	23.5	31.5	57	7	8	5	24	56	5	4.8	9.8	6	0	w	6	27	*6/- (20-11)	B	14	C	C		430	315	212	416				3b-2e12 2b-3e15 ss-4e16 1b-4e30
LAA	"Marte,J"	127	12	16	5.8	27.8	14	2.7	5*	0	9	45	5	6	17	18.2	3.1	w*	0	12	2/- (20-6)	E	12	D	D		414		437		408			1b-4e14 3b-4e37 lf-4(+2)e8
ARN	"Marte,K+"	223	6	12	17.3	30.3	24	1.3	2	-8	8	11	13	23	37	30.5	0	0	-12	8	6/- (15-6)	C	15	D	D				437	426				ss-4e26 3b-4e37
PIN	"Marte,S"	309	19	2	9.9	16.9	9.9	0	w	-2	11	14	6	29.1	40.1	35.6	1.4	3	0	11	*4-6/- (19-13)	A	16	B	D						102	302		lf-1(-4)e2 cf-3e2
CHN	"Martin,L*"	128	2	10	10.1	23	17.6	0.9	1	3	10	34	0	5.7	8.7	9.9	0.6	1	3	12	*2-12/- (15-13)	B	15	D	D						205	205	205	cf-2(-4)e5 rf-2e5 lf-2e5
TOA	"Martin,R"	307	36	23	2.9	31	7.3	1.4	1	0	21	21	21	13.8	39.8	23.8	2.6	4	-7	23	"7/10,11 (13-3)"	E	11	D	D	201			421					c-2(+1)e1,T-6(pb-1) 3b-4e21
ARN	"Martinez,JD"	432	31	14	34.5	48.5	105	17.4	8*	0	11	33	12	25.7	37.7	65.6	11.5	8	-8	15	2/- (20-6)	D	12	D	D								406	rf-4(+1)e6
SLN	"Martinez,J"	272	15	17	36.8	53.8	80.2	11	8	-8	18	19	12	28.8	40.8	39.5	2.5	5	-8	21	3/- (20-6)	C	12	D	C		411				405		405	1b-4e11 lf-4(+1)e5 rf-4e5
DEA	"Martinez,V+"	392	7	5	21.6	29.6	29	2.3	w	-2	26	9	8	21.5	32.5	29	1.5	1	-1	25	-/- (---)	E	8	D	C									
ARN	"Mathis,J"	186	41	16	10.8	28.9	20.9	0.3	0	0	18	40	2	14.6	18.7	27.1	1.5	w	0	22	2/- (20-6)	E	9	D	D	303								c-3(-2)e3,T-9(pb-1)
MNA	"Mauer,J*"	525	9	9	32.5	42.5	41.7	0	w	5	21	6	15	28.3	44.3	45.8	3.4	w	5	20	3/- (13-6)	E	12	C	B		103							1b-1e3
OAA	"Maxwell,B*"	219	23	16	9.4	25.4	9.4	0	w	2	28	32	18	17.9	35.9	32.9	2.8	w	3	26	-/- (---)	E	8	D	D	301								c-3(0)e1,T-1(pb-0)
HOA	"Maybin,C"	395	21	4	24.5	29.5	32.9	1.8	w	-5	22	22	20	12.1	33.1	21.8	1.2	2	-3	17	"*2-5,11,12/- (19-15)"	AA	17	C	C						205	205	305	lf-2(0)e5 cf-2e5 rf-3e5
TEA	"Mazara,N*"	554	25	3	16.5	21.5	29.3	1.8	w	12	17	21	10	17.8	29.9	31.4	2.8	4	12	16	6/12 (13-5)	E	10	D	C						408		408	rf-4(-2)e8 lf-4e8
HOA	"McCann,B*"	349	2	10	15.7	29.7	27.7	3.4	5	1	17	13	10	16.6	30.6	29.2	3.6	6	1	17	2/- (20-6)	E	8	D	C	303								c-3(+1)e3,T-7(pb-1)
